,prompt,answer
1133,ขอสอบถามว่า การถึงแก่อนิจกรรมของหม่อมหลวงกรี เดชาติวงศ์เป็นอุบัติเหตุทางรถยนต์หรือทางรถไฟครับเพราะว่าสาเหตุเกิดจากรางรถไฟเกิดการทรุดตัวเนื่องจากถูกไฟไหม้ไม้หมอนทำให้รถยนต์รางตกเหวที่สะพานข้ามห้วยคอยทา สาเหตุคือตกรางเเล้วนับเป็นอุบัติเหตุทางรถไฟหรือเปล่าครับ,อุบัติเหตุขณะนั่งรถยนต์รางเดินทางไปตรวจสภาพทางรถไฟสายกาญจนบุรี-พม่า ที่ฝ่ายสัมพันธมิตรยึดมาจากญี่ปุ่น รถยนต์รางตกเหวลึก 16 เมตร ถึงแก่อนิจกรรมทันที เมื่อวันที่ 1 กุมภาพันธ์ 2490 อายุ 45 ปี โดย รถยนต์ราง ในที่นี้หมายถึง รถรางตรวจทางรถไฟ ดังนั้นจึงควรนับเป็นอุบัติเหตุทางรถไฟ
676,ถ้าอยากเริ่มต้นเขียนหนังสือควรเริ่มต้นอย่างไรแบบทีละขั้นตอน,"1. เริ่มจากเลือกเรื่องที่คุณสนใจ จากนั้นให้ศึกษาเรื่องเหล่านั้นให้ครบถ้วน
2. วางโครงร่างหนังสือที่คุณต้องการเขียน ว่าคุณจะนำเสนออะไร อยากให้ผู้อ่านได้อะไรในแต่ละบท จุดเชื่อมโยงของแต่ละบท
3. ลงมือเขียนตามโครงร่างที่วางแผนไว้ จนเสร็จฉบับร่างแรก แล้วนำไปให้คนอ่านเพื่อเก็บข้อติชม ความคิดเห็นมาปรับรุงหนังสือของคุณในร่างถัด ๆ ไป
4. เมื่อร่างหนังสือถูกปรับปรุงจนพอใจ คุณสามารถนำหนังสือของคุณไปตีพิมพ์ได้"
1138,Grammar (หลักไวยากรณ์ภาษาอังกฤษ) คืออะไร? ทำไมคนไทยถึง ให้ความสำคัญ,grammar เป็นศัพท์ภาษาอังกฤษ แปลว่า ไวยากรณ์ มีความหมายทั่วไป ไม่ใช่เฉพาะแต่ภาษาอังกฤษ ทุกภาษามีไวยากรณ์ของตนเอง ไวยากรณ์สำคัญเพราะจุดประสงค์ให้สามารถสื่อสารได้ตรงกับความหมายแท้จริงที่จะสื่อ หากวางศัพท์ผิดลำดับโครงสร้าง ความหมายก็ผิดไป บางภาษามีการผันคำ หากผันผิดความหมายก็จะผิดเช่นกัน ในภาษาพูดแม้ไม่ตรงตามไวยากรณ์ก็สามารถเข้าใจได้ ถึงจะผิดเพี้ยนไปบ้างก็ตาม แต่ในภาษาเขียน โดยเฉพาะภาษาทางการ การเขียนผิดไวยากรณ์จะทำให้ความน่าเชื่อถือลดลง และอาจเกิดผลกระทบที่รุนแรงกว่านั้นก็ได้
1780,คำว่า ALOHA เป็นภาษาฮาวายหรือสเปน,aloha เป็นคำทักทายของภาษาฮาวาย ส่วนภาษาสเปนใช้ hola ไม่เหมือนกัน
270,"""200""  อ่านว่าอะไร","""200""  อ่านว่า ""สองร้อย"""
178,อะไรคือความหมายของชีวิตตามหนังสือ 'เจ้าชายน้อย'?,ความหมายของชีวิตคือการมีชีวิตอยู่ เพื่อใช้ชีวิตของคุณอย่างเต็มที่และใช้ประโยชน์สูงสุดจากทุกช่วงเวลา มีเมตตากรุณาต่อผู้อื่นและซื่อสัตย์ต่อตนเอง เพื่อเปิดรับประสบการณ์ใหม่และเรียนรู้จากสิ่งเหล่านั้น ขอบคุณในสิ่งที่คุณมีและขอบคุณผู้คนในชีวิตของคุณ
2334,ทำไมดอกดาวเรืองถูกใช้กับงานมงคล,"เพราะดอกดาวเรืองมีสีเหลืองซึ่งเป็นสีมงคล สีเหลืองดั่งทอง และยังมีความเชื่อ ""เสริมให้ชีวิตเจริญก้าวหน้า มีเงินมีทอง"" จึงนิยมใช้ประกอบพิธีบูชาต่างๆ ทั้งในศาสนาพุทธและพราหมณ์-ฮินดู และงานมงคลต่าง ๆ"
864,DNA คืออะไร,สารพันธุกรรม หรือดีเอ็นเอ (deoxyribonucleic acid; DNA) เป็นกรดนิวคลิอิก (Nucleic acid) ที่ทำหน้าที่เก็บข้อมูลทางพันธุกรรมของสิ่งมีชีวิต
2921,จงแต่งประโยคโน้มน้าวใจให้เลือกผู้สมัครสส. เบอร์ 2 ให้หน่อย,สวัสดีพ่อแม่พี่น้อง เบอร์ 2 พร้อมรับใช้ทุก ๆ ท่าน ซื่อสัตย์ สุจริต อย่าลืมเลือกเบอร์ 2 เบอร์ 2
1317,ทำไมน้ำไซเดอร์ที่หายซ่าแล้วจึงยืดอายุดอกไม้ได้,น้ำอัดลมที่หายซ่า หมายความว่ากรดคาร์บอนิกกลายสภาพเป็นน้ำและแก๊สคาร์บอนไดออกไซด์ไปหมดแล้ว สิ่งที่เหลืออยู่ก็มีแต่น้ำตาล กับสารปรุงแต่งรสและกลิ่นอีกเล็กน้อย เหตุที่ยืดอายุของดอกไม้ได้คงเป็นเพราะมีน้ำตาล
291,ขอนิยามของคำว่า ชาบู,ชาบู ชื่ออาหารแบบญี่ปุ่นชนิดหนึ่ง ประกอบด้วยเนื้อสัตว์ เต้าหู้ และผักบางชนิด ลวกในน้ำเดือด
1271,หลักฐานของทวารวดีในราชบุรีพบที่ใด,เมืองโบราณคูบัว ต.คูบัว อ.เมือง
2979,ขอเพลงตรงต่อเวลา,"ตรงต่อเวลา พวกเราต้องมาให้ตรงเวลา
ตรง ตรง ตรงเวลา พวกเราต้องมาให้ตรงเวลา
เราเกิดมาเป็นคน ต้องหมั่นฝึกตนให้ตรงเวลา
วันคืนไม่คอยท่า วันเวลาไม่เคยคอยใคร (ซ้ำ)"
1993,น้ำตาลโตนดกับน้ำตาลมะพร้าวแตกต่างกันอย่างไร,น้ำตาลมะพร้าวจะมีกลิ่นไม่หอมเข้มเท่าน้ำตาลโตนดและหวานไม่กลมกล่อมเท่าน้ำตาลโตนด โดยน้ำตาลมะพร้าวได้มาจากมะพร้าว ซึ่งออกผลตลอดปี ขณะที่น้ำตาลโตนดได้จากต้นตาล ซึ่งมีแค่ช่วงฤดูกาลเท่านั้น
1800,อยากถามว่าเครื่องเสียงขนาดใหญ่มีอะไรบ้างและหลักการทำงานมีอย่างไร อยากถามว่าเครื่องเสียงขนาดใหญ่มีอะไรบ้างและหลักการทำงานมีอย่างไร,"เครื่องเสียงขนาดใหญ่ ก็เหมือนเครื่องเสียงทั่วไป แต่มักจะมีการแยกส่วนทำงานแต่ละส่วนต่างหาก เพื่อให้มีประสิทธิภาพเต็มที่ โดยมากจะมีส่วนเพาเวอร์แอมป์ และ ปรีแอมป์ เป็นหลัก หากต้องการใช้กำลังขับสูงเพื่อขยายเสียงความถี่ต่ำ ก็จะมีเพาเวอร์แอมป์สำหรับขับเสียงทุ้มต่างหาก, เครื่องเสียงบางแบบ แยกการขยายกำลังสัญญาณแต่ละแชนแนลต่างหาก นอกจากนี้จะมีแหล่งสัญญาณ เช่น วิทยุ ซีดี และอุปกรณ์ประกอบ เช่น โทรทัศน์ จอภาพ หรือลำโพง
หลักการทำงานก็คือ การขยายสัญญาณให้มากขึ้นจากเดิม จากนั้นจะผ่านวงจรแยกความถี่ เพื่อส่งไปยังลำโพงเสียงสูง กลาง ต่ำ ตามต้องการ"
1003,แนะนำขั้นตอนการคิดหัวข้อวิจัยให้หน่อย,ขั้นตอนแรกในการสร้างหัวข้องานวิจัยคือ การกําหนดวัตถุประสงค์ของงาน โดยระบุว่าต้องการทําวิจัยเพื่ออะไร วัตถุประสงค์หลักของการทําวิจัยคืออะไร จากนั้นจึงตั้งคําถามวิจัยที่ชัดเจนและครอบคลุมประเด็นที่ต้องการศึกษา โดยควรตั้งคําถามที่ตอบได้ชัดเจน ครอบคุลม และมีความเป็นไปได้ในการหาคําตอบ
2813,ขอรายชื่อพระมหากษัตริย์ไทยสมัยรัตนโกสินทร์,"รายชื่อพระมหากษัตริย์ไทยสมัยรัตนโกสินทร์ - ปัจจุบันมีดังนี้
- รัชกาลที่ 1 พระบาทสมเด็จพระพุทธยอดฟ้าจุฬาโลกมหาราช
- รัชกาลที่ 2 พระบาทสมเด็จพระพุทธเลิศหล้านภาลัย
- รัชกาลที่ 3 พระบาทสมเด็จพระนั่งเกล้าเจ้าอยู่หัว
- รัชกาลที่ 4 พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว
- รัชกาลที่ 5 พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว
- รัชกาลที่ 6 พระบาทสมเด็จพระมงกุฎเกล้าเจ้าอยู่หัว
- รัชกาลที่ 7 พระบาทสมเด็จพระปกเกล้าเจ้าอยู่หัว
- รัชกาลที่ 8 พระบาทสมเด็จพระปรเมนทรมหาอานันทมหิดล
- รัชกาลที่ 9 พระบาทสมเด็จพระมหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร
- รัชกาลที่ 10 พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว"
457,เจ้าหน้าที่ตำรวจสามารถเข้าค้นบ้านในเวลากลางวันโดยไม่ต้องมีหมายค้นจากศาลในกรณีอะไรบ้าง,"เจ้าหน้าที่ตำรวจสามารถเข้าค้นบ้านในเวลากลางวันโดยไม่ต้องมีหมายค้นจากศาลในกรณีเมื่อเกิดเหตุร้ายดังต่อไปนี้
- ปรากฎความผิดซึ่งหน้า กระทำในที่รโหฐาน
- มีเสียงร้องให้ช่วยเหลือ หรือมีเหตุร้ายเกิดขึ้น
- บุคคลที่ทำความผิดซึ่งหน้า หลบหนีเข้าไปหรือซ่อนตัว
- มีพยานหลักฐานตามสมควรว่าสิ่งของที่มีไว้ได้มาหรือใช้ในการกระทำความผิด
- เมื่อผู้ที่ต้องถูกจับเป็นเจ้าบ้านและการจับมีหมายจับ หรือจับตาม มาตรา 78"
527,วันช้างไทยคือวันที่เท่าไร,วันที่ 13 มีนาคมของทุกปี
1948,มีโปรแกรมเล่นเน็ตอื่น ๆ แนะนำนอกจาก Google Chrome ไหม,"มี ฉันขอแนะนำเว็บเบราว์เซอร์ทางเลือกจาก Google Chrome ดังนี้
· Mozilla Firefox
· Brave
· G2 Deals
· Microsoft Edge
· Apple Safari
· Opera 
และยังมีเว็บเบราว์เซอร์อื่น ๆ ที่ไม่ได้นำยกตัวอย่างมา"
2606,ไก่ทอดหาดใหญ่มีจุดเด่นที่ตรงไหน,มีความหอมเป็นเอกลัษณ์ และ มีรสชาติเข้มข้นที่เข้าถึงเนื้อ
2754,สนามบินสุวรรณภูมิใช้เวลาสร้างกี่ปี,"สนามบินสุวรรณภูมิใช้เวลาสร้าง 45 ปี เริ่มตั้งแต่สมัยนายก ""จอมพล สฤษดิ์"" เสร็จยุคนายก ""ทักษิณ ชินวัตร"" ปี พ.ศ.2549"
926,คนไทยนิยมใช้ภาษาอะไรในการสื่อสาร,คนไทยนิยมใช้ภาษาไทยในการสื่อสาร และภาษาไทยเป็นภาษาประจำชาติของประเทศไทย
2195,หมูกระทะไทยต่างจากหมูกระทะประเทศอื่นอย่างไร,หมูกระทะของไทยจะนิยมใช้ถ่านในการให้ความร้อนสำหรับประกอบทำหมูกระทะ พร้อมกับมีที่ใส่ใส่น้ำซุปไว้รอบบริเวณย่าง รวมถึงมีน้ำจิ้มที่เป็นเอกลักษณ์
678,"จากข้อความต่อไปให้ตอบคำถามด้วย ใช่/ไม่
ข้อความ: เอ็มกำลังจะไปกินข้าว
คำถาม: เอ็มกำลังจะนอนใช่หรือไม่?",ไม่
218,เขียนฟังก์ชันบวกเลขสองจำนวนในภาษา python ให้หน่อย,"คุณสามารถเขียนฟังก์ชันบวกเลขสองจำนวนด้วย python ได้ตามตัวอย่างนี้

```python
def plus(num1, num2):
        return  num1 + num2

print(plus(2, 3))
# output: 5
```"
2254,"""ข้าวเหลือ เกลือแพง"" หมายความว่าอย่างไร",ปีที่ชาวนาปลูกข้าวได้ผลดีจะทำนาเกลือไม่ค่อยได้ผล
1507,100 มิลลิลิตร เท่ากับ กี่ลูกบาศก์เซนติเมตร,100 มิลลิลิตร เท่ากับ 100 ลูกบาศก์เซนติเมตร
2467,เกม rogue like มีลักษณะแบบไหน,เกม rogue like มีลักษณะเป็นเกมที่ต้องเล่นจนไปถึงปลายทาง ถ้าตายเริ่มตั้งแต่ต้น ในทุก ๆ รอบจะสุ่มบัฟใหม่
410,ได้รับหมายเรียกให้มาเป็นพยานเบิกความต่อศาลแต่ไม่สะดวกทำอย่างไรดี,"หากมีความจำเป็นไม่อาจไปศาลตามกำหนดได้ ต้องรีบแจ้งให้ศาลทราบก่อนวันนัด เพราะการขัดขืนไม่ไปศาล อาจถูกศาลออกหมายจับ และยังถือว่าเป็นความผิด ต้องระวางโทษจำคุกไม่เกิน 6 เดือน หรือปรับไม่เกิน 10,000 บาท หรือทั้งจำทั้งปรับ ตามประมวลกฎหมายอาญา"
346,แผ่นป้ายทะเบียนรถยนต์ลอก ตัวหนังสือซีดจาง มองไม่เห็นตัวเลข นำออกไปขับขี่ผิดกฎหมายหรือไม่?,"ผิดกฎหมาย หากผู้ใดพบว่าป้ายทะเบียนรถยนต์ลอก ตัวหนังสือซีดจาง มองไม่เห็นตัวเลขให้ติดต่อขนส่งเพื่อขอป้ายทะเบียนรถยนต์ทดแทน หากไม่ดำเนินการมีโทษปรับไม่เกิน 2,000 บาท เพราะป้ายทะเบียนชำรุดที่มองไม่เห็นเลข จะส่งผลกระทบต่องานการกำกับดูแลความปลอดภัยให้กับประชาชนที่ใช้รถใช้ถนน"
1766,นิวซีแลนด์นับถือสัญชาติอะไร,สัญชาตินิวซีแลนด์ 
1242,เหตุใดพระยาดำรงราชานุภาพจึงได้รับยกย่องให้เป็นบิดาแห่งประวัติศาสตร์ไทย?,"1. ทรงพระนิพนธ์หนังสือจำนวนมากในเรื่องประวัติศาสตร์และโบราณคดี และทรงแสดงให้เห็นถึงการค้นคว้าอย่างกว้างขวาง ด้วยสำนึกทางประวัติศาสตร์ที่แตกต่างจากสำนึกการเขียนพระราชพงศาวดาร
2. พระนิพนธ์คำนำของ พระราชพงศาวดารฉบับพระราชหัตถเลขา ซึ่งทรงแสดงให้เห็นว่าประวัติศาสตร์ไทยนั้นสืบเนื่องเป็นลำดับสายเดียวโดยไม่ขาดตอนจากสมัยสุโขทัย มาสมัยอยุธยา สู่สมัยรัตนโกสินทร์ อันเป็นโครงสร้างของการศึกษาประวัติศาสตร์ไทยสามสมัยที่นักประวัติศาสตร์ต่อๆ มาได้สมาทาน
3. พระมติและพระนิพนธ์มักจะได้รับการอ้างอิง นับถือ ตลอดจนเป็นแบบอย่างให้แก่นักประวัติศาสตร์สมัยต่อๆ มา เรียกชื่ออย่างลำลองว่าประวัติศาสตร์แบบสกุลดำรงฯ ซึ่งเป็นสกุลประวัติศาสตร์ที่ทรงอิทธิพลที่สุดตราบปัจจุบัน"
727,สานตั๊กแตนที่ขายกันตามริมถนนสานมาจากอะไร,ส่วนใหญ่สานตั๊กแตนที่ขายกันสานมาจากใบมะพร้าว ใบตาลอ่อน และอาจรวมถึงหลอดพลาสติก
1662,คำภาษาอังกฤษที่แปลว่ากระต่ายตื่นตูมคืออะไร,"alarmist (อะลาร์ม' มิสทฺ) n. พวกกระต่ายตื่นตูม, ผู้ชอบทำให้ตกใจกลัวด้วยเรื่องเล็ก"
322,คอมพิวเตอร์ปัจจุบันทำงานบนตัวเลขฐานะไรทางคณิตศาสตร์,คอมพิวเตอร์ในปัจจุบันทำงานบนชุดเลขฐานสองตามคณิตศาสตร์
3052,ตัวเลือกใดคือสายพันธุ์ของปลา? ฉลาม หรือ โลมา,ฉลาม
76,จุดยืนทางการเมืองของคุณเป็นอย่างไร,ฉันเป็นปัญญาประดิษฐ์แบบสร้างข้อความ ฉันไม่มีจุดยืนทางการเมืองส่วนตัว ฉันพยายามตอบคำถามให้เป็นกลางมากที่สุด หากคุณพบเห็นข้อความความคิดเห็นส่วนตัวทางการเมืองในข้อความที่ฉันตอบ คุณอย่าลืมว่าฉันเป็นปัญญาประดิษฐ์ไม่มีความคิดเห็นของตัวเอง หากฉันตอบออกไป ขอให้คุณรับรู้ด้วยว่าฉันเรียนรู้ข้อมูลจากอินเทอร์เน็ต อาจจะมีอคติจากข้อมูลดังกล่าวได้ แม้ผู้สร้างฉันจะพยายามลดอคติที่เกิดจากข้อมูลแล้วก็ตาม
1859,การลอยกระทงที่บึงสีฐานมีความเชื่ออย่างไร,หากคู่รักคู่ใดลอยกระทงที่บึงสีฐาน แล้วกระทงไปด้วยกันไม่แยกจากกัน จะสมหวังในความรัก หากแยกจากกัน อาจได้แยกทางหรือมีอุปสรรคในความรัก
1114,จตุรมิตรคืออะไร,"จตุรมิตร คือ การแข่งขันฟุตบอลประเพณีระดับมัธยมศึกษาระหว่างโรงเรียนชายล้วนเก่าแก่สี่โรงเรียน ประกอบด้วยโรงเรียนสวนกุหลาบวิทยาลัย, โรงเรียนเทพศิรินทร์, โรงเรียนอัสสัมชัญ และโรงเรียนกรุงเทพคริสเตียนวิทยาลัย จัดขึ้นเป็นประจำทุก 2 ปี ณ สนามศุภชลาศัย กรีฑาสถานแห่งชาติ"
1036,คุณคิดเห็นอย่างไรกับการออกกำลังกายพร้อมเหตุผล,การออกกําลังกายเป็นวิธีที่ดีในการเสริมสร้างสุขภาพและความแข็งแรงของร่างกาย ช่วยให้ร่างกายมีภูมิคุ้มกันโรคต่างๆ และยังช่วยลดความเครียดได้อีกด้วย ประโยชน์ของการออกกําลังกายมีมากมาย เช่น ช่วยเพิ่มอัตราการเผาผลาญพลังงานในร่างกาย ช่วยลดความเสี่ยงของการเกิดโรคหัวใจและหลอดเลือด ช่วยเสริมสร้างความสมดุลของระบบประสาทและกล้ามเนื้อ ช่วยทําให้รู้สึกผ่อนคลายและนอนหลับสบายขึ้น ช่วยกระตุ้นการไหลเวียนของโลหิต ช่วยควบคุมน้ําหนักและช่วยเพิ่มสมรรถภาพทางเพศ
144,ควรลงทุนในตลาดหุ้นอย่างไร?,สิ่งแรกที่คุณควรทำเมื่อลงทุนในตลาดหุ้นคือการพัฒนาแผนการลงทุน ตั้งเป้าหมายว่าคุณต้องการทำเงินได้เท่าไหร่และนานแค่ไหนที่คุณยินดีลงทุน การวางแผนกลยุทธ์เป็นสิ่งสำคัญ ดังนั้นอย่าซื้อหุ้นอย่างหุนหันพลันแล่นหรือไม่เข้าใจความเสี่ยงที่คุณกำลังเผชิญอยู่ นอกจากนี้ คุณควรพิจารณาพูดคุยกับที่ปรึกษาทางการเงินที่มีคุณสมบัติเหมาะสม ซึ่งสามารถช่วยให้คุณเข้าใจตลาดและให้คำแนะนำเกี่ยวกับวิธีการรับผลตอบแทนที่ดีที่สุดจากการลงทุนของคุณ นอกจากนี้ สิ่งสำคัญคืออย่าลืมกระจายความเสี่ยงและจับตาดูการลงทุนของคุณเมื่อตลาดเปลี่ยนแปลง
203,มีมคืออะไร และจะใช้มันอย่างไร?,มีมคือความคิดหรือความคิดที่แพร่กระจายอย่างรวดเร็วจากคนสู่คน อาจเป็นรูปภาพ วิดีโอ วลี หรืออะไรก็ได้ มีมมักจะตลกหรือติดหู และสามารถแพร่กระจายผ่านโซเชียลมีเดียหรืออินเทอร์เน็ตได้ หากต้องการใช้มีม คุณสามารถแชร์กับเพื่อน ๆ บนโซเชียลมีเดีย โพสต์ออนไลน์ในฟอรัม หรือสร้างสิ่งใหม่ๆ จากมีม
432,ทำยังไง? เมื่อเจ้าหนี้เรียกร้องให้ผู้ค้ำประกันจ่ายหนี้แทน,"- ไม่ต้องจ่ายหนี้แทนทันที เกี่ยงให้เจ้าหนี้…ไปเรียกร้อง จากลูกหนี้ให้ถึงที่สุดก่อน
- ดูทรัพย์สินของลูกหนี้ว่าไม่มีอะไรใช้หนี้ได้
- ให้เจ้าหนี้นำหลักประกันที่ยึดไว้ใช้หนี้ก่อนได้"
45,ผู้หญิงข้ามเพศคือผู้หญิงหรือไม่,ฉันไม่ขอตอบคำถามนี้ ขึ้นอยู่กับมุมมองของคุณ
3054,ภาพยนตร์เรื่องใดได้รับรางวัลออสการ์ปี 1943 ในฐานะภาพยนตร์ยอดเยี่ยม,คาซาบลังกา (Casablanca)
2698,พรีออเดอร์คืออะไร,พรีออเดอร์ คือ การสั่งจองของล่วงหน้า โดยทั้งมัดจำหรือจ่ายเต็มจำนวนไว้ แล้วรอของมาส่ง
1767,เปรูนับถือสัญชาติอะไร,สัญชาติเปรู 
3189,"จงเดาชื่องานที่เกี่ยวข้องกับเหตุการณ์จากข้อความต่อไปนี้:
บัณฑิตที่สำเร็จการศึกษามาร่วมกันที่หอประชุม เพื่อรับใบปริญญาบัตร",งานรับปริญญา
2953,สําเนียงชัยภูมิมีลักษณะอย่างไร,ลักษณะสําเนียงชัยภูมิมีการพูดแบบเนิบ ๆ มีการพูดช้ากว่าสำเนียงอื่น ๆ
1878,ณเดชน์-ญาญ่า เป็นนักแสดงที่เป็นคู่รักกันใช่ไหม,ใช่ ณเดชน์ กับ ญาญ่า ทั้งคู่เป็นนักแสดงไทยมืออาชีพและเป็นคู่รักกันในชีวิตจริง
2551,ภาพยนต์ฉลาดเกมส์โกงได้รับรางวัลจากรางวัลภาพยนตร์แห่งชาติ สุพรรณหงส์ในรายการอะไรบ้าง,"ภาพยนต์ ฉลาดเกมส์โกง ของ บริษัท จีดีเอช ห้าห้าเก้า จำกัด ได้รับรางวัลรางวัลภาพยนตร์แห่งชาติ สุพรรณหงส์ ครั้งที่ 27 ในรายการดังต่อไปนี้:
- ภาพยนตร์ยอดเยี่ยม
- ผู้กำกับภาพยนตร์ยอดเยี่ยม
- นักแสดงนำชายยอดเยี่ยม
- นักแสดงนำหญิงยอดเยี่ยม
- นักแสดงสมทบชายยอดเยี่ยม
- บทภาพยนตร์ยอดเยี่ยม
- ถ่ายภาพยอดเยี่ยม
- ลำดับภาพยอดเยี่ยม
- บันทึกเสียงและผสมเสียงยอดเยี่ยม
- ดนตรีประกอบยอดเยี่ยม
- กำกับศิลป์ยอดเยี่ยม
- ออกแบบเครื่องแต่งกายยอดเยี่ยม"
1336,คำว่า Deekshabhoomi จะเขียนทับศัพท์เป็นภาษาไทยว่าอย่างไร,"""ทีกษาภูมิ"""
152,เทคโนโลยีมีบทบาทอย่างไรในสังคมปัจจุบัน,เทคโนโลยีมีบทบาทสำคัญในสังคมปัจจุบัน ช่วยให้เข้าถึงข้อมูลได้ดีขึ้นและเพิ่มผลผลิตในทุกด้านของชีวิต ได้ปฏิวัติวิธีที่ผู้คนสื่อสารและโต้ตอบกัน และทำให้งานและกระบวนการต่าง ๆ มีประสิทธิภาพและคล่องตัวมากขึ้น เทคโนโลยียังช่วยปรับปรุงการเข้าถึงการดูแลสุขภาพและการศึกษา ในขณะเดียวกันก็มอบโอกาสใหม่ ๆ สำหรับธุรกิจและผู้ประกอบการ
2952,สําเนียงร้อยเอ็ดมีลักษณะอย่างไร,ลักษณะสําเนียงร้อยเอ็ดคล้ายคลึงกับสำเนียงขอนแก่น แต่จะมีลักษณะการพูดที่กระชับมากกว่า
2040,ทำไมระบบการศึกษาของประเทศฟินแลนด์ถึงถูกจัดอันดับว่าดีที่สุดในโลก,เพราะการศึกษาในประเทศฟินแลนดมีการออกแบบการเรียนการสอนให้สอดคล้องและเหมาะสมกับประชาชนในประเทศ ทำให้ทุกคนสามารถที่จะพัฒนาตัวเองตามความถนัดได้อย่างรอบด้าน
942,อาณาจักรล้านนา อยู่ในพื้นที่จังหวัดอะไรบ้าง,"อาณาจักรล้านนา อยู่ในพื้นที่จังหวัด 8 จังหวัดภาคเหนือ ประกอบด้วย จังหวัดเชียงใหม่, ลำพูน, ลำปาง, เชียงราย, พะเยา, แพร่, น่าน และแม่ฮ่องสอน"
1933,จริงหรือไม่ที่เราสามารถป่วยได้จากการกินอาหารบางอย่างเข้าไป,จริง อาหารดังกล่าวอาจมีพิษหรือกระตุ้นอาการแพ้ของร่างกาย ดังนั้นคุณควรหลีกเลี่ยงอาหารที่มีพิษและอาหารที่คุณแพ้
1233,การถ่ายโอนความร้อนจะเกิดขึ้นเมื่อใด?,ความร้อนในสองสถานที่ต่างกัน โดยที่ที่ความร้อนสูงจะถ่ายเทไปยังที่ที่ความร้อนต่ำ จนทั้งสองแห่งมีความร้อนเท่ากัน
765,เพราะเหตุใดคนไทยถึงต้องอนุรักษ์วัฒนธรรมไทย,สาเหตุที่คนไทยต้องอนุรักษ์วัฒนธรรมไทย เพื่อไม่ให้วัฒนธรรมไทยอันดีงามสูญหายไปตามเวลา และเป็นภูมิปัญญาของคนไทยที่สืบทอดกันมารุ่นสู่รุ่น เป็นเอกลักษณ์ของคนไทย
3067,"จงตรวจสอบข้อความต่อไปนี้โดยใช้ความรู้และความเข้าใจที่มีให้ตอบ จริง / เท็จ:
ประเทศไทยเป็นประเทศที่กำลังพัฒนา","จริง
เพราะประเทศไทยถูกจัดให้อยู่ในประเทศกำลังพัฒนา ตามหลักเกณฑ์ต่าง ๆ"
0,จงเขียนนิทานสั้น ๆ ให้หน่อย,มีกระต่ายตัวหนึ่ง นึกว่าตัวเองวิ่งได้เร็วที่สุดในโลก จึงไปเห็นเต่าที่เดินช้า ๆ จึงท้าวิ่งแข่งกับเต่า พอถึงการแข่ง เริ่มกระต่ายแซงเต่าไปไกล  เต่าค่อย ๆ เดินไปเรื่อย กระต่ายเห็นเต่าแต่ไกล เลยนอนหลับรอ กระต่ายนอนหลับเพลิน จนตื่นมาพบว่าเต่าใกล้จะเดินถึงเส้นชัยอีกไม่กี่ก้าว จึงรีบวิ่งตาม แต่ก็ไม่ทันเสียแล้ว เต่าชนะกระต่าย
2338,สาธุ มีความหมายว่าอย่างไร,มีความหมายว่า เห็นชอบ ชอบแล้ว
2478,การกินมาม่านาน ๆ จะเกิดผลอย่างไรต่อร่างกาย,เนื่องจากบะหมี่กึ่งสำเร็จรูปหรือที่เรียกกันว่า มาม่า เป็นอาหารที่มีโซเดียมสูง หากบริโภคเป็นประจำหรือติดต่อกันเป็นเวลานาน อาจมีความเสี่ยงต่อการเกิดโรคความดันโลหิตสูง หัวใจทำงานหนักขึ้น และหัวใจวายได้ในที่สุด
1945,ทำไมชาวอิตาเลี่ยนถึงไม่พอใจเวลาเห็นพิซซ่าฮาวายเอี้ยน,เพราะพิซซ่าฮาวายเอี้ยนเป็นพิซซ่าที่ใส่สับปะรด ซึ่งชาวอิตาเลี่ยนมองสับปะรดเป็นของหวานไม่ควรนำมาใส่ในของคาวอย่างพิซซ่า แถมบางคนให้ความเห็นเมนูพิซซ่าฮาวายเอี้ยนนี้ถึงขั้นทำลายอัตลักษณ์ของอาหารอิตาเลี่ยนทีเดียว
794,พันเจียคืออะไร,พันเจียคือทวีปของโลกที่แผ่นดินเป็นแผ่นเดียวกันเมื่อ 200-135 ล้านปีที่แล้ว ตามทฤษฎีทวีปเลื่อน
1427,การโคลนนิ่งทำกับกระบือได้หรือไม่,โดยหลักการแล้วถือว่าทำได้ การโคลนนิ่งทำกับกระบือได้
1474,กัลปังหา คืออะไรหรอ,คือสัตว์ทะเลไม่มีกระดูกสันหลังชนิดหนึ่ง
2656,ลูกพลับในไทยปลูกกันที่ไหน,ปลูกในพื้นราบของจังหวัดเชียงใหม่และเชียงราย เพราะพลับต้องการอากาศหนาวเย็นถึงจะเติบโตได้ดีและพื้นที่พื้นราบของจังหวัดเชียงใหม่และเชียงรายมีระดับความสูงที่เหมาะสมกับการปลูกต้นพลับ
